text,ref,Unnamed: 2,translated
"Bere bɛn na Yehowa sraa Yesu sɛ obi a obedi Hene daakye ? Bere a Yesu wɔ asase so no , ntotoe bɛn na ɔyɛ maa n 'Ahenni no ?","When was Jesus anointed as the future King , and while on earth , what arrangements did Jesus make for his rule ?",,"Where was Jehovah when Jesus was on earth, and what work did he do for his Father?"
Bere dodow ahe na migye de dwinnwen nea mekenkan ne nsɛm a mete ho ?,How much time do I take to meditate on what I read and hear ?,,When will I get the opportunity to tell you something that is bothering me?
"Bere foforo a na merefrɛ afoforo wɔ telefon so no , afiri a ɛkyere nsɛm no maa me nɔma foforo bi .","Another time when I was making calls , a recording gave a new number .",,"Again, when I called another friend on phone, the message icon gave me another message."
"Bere foforo mu no , ' bere a ade kyee no , ɔkɔɔ baabi kɔbɔɔ mpae . '","On another occasion , "" when it became day , he went out and proceeded to a lonely place . """,,"One day, he went to a certain place and shot an elephant."
"Bere kɔ so no , saa ntutuw no san ba asase so sɛ sukyerɛma anaa osu .","In time , this vapor returns to the earth as snow or rain .",,"When you go there, the sand on the ground is like sugar or salt."
"Bere kɔɔ so no , wɔkyeree abusua no mufo a wosusua no koguu mmofrabɔne sukuu mu ; wɔkyeree abusua no mufo a aka no koguu afiase ne nneduaban mu .","In time , the younger family members were seized and taken to a reform school ; others of the family were arrested and held in prisons and concentration camps .",,So they took the family members who were educated to the boys' school; they took those who were not educated to the farm and the kitchen.
"Bere kɔɔ so no , wɔtee Kanaanfo no anifere kwan so nkɛntɛnso no nka , na wotumi kae sɛ : "" [ Israelfo no kɔɔ so poo Yehowa ahyɛde ] ne n 'apam a ɔne wɔn agyanom pamee ne n 'adanse a odii wɔn no , na wokodii ahuhude akyi dii ahuhusɛm , na wokodii amanaman a wɔatwa wɔn ho ahyia a [ Yehowa , NW ] hyɛɛ wɔn sɛ wɔnnyɛ sɛ wɔn no akyi . ""","In time , the insidious influence of the Canaanites was felt , and it could be said : "" They [ the Israelites ] continued rejecting [ Jehovah 's ] regulations and his covenant that he had concluded with their forefathers and his reminders with which he had warned them , and they went following vain idols and became vain themselves , even in imitation of the nations that were all around them , concerning whom Jehovah had commanded them not to do like them . """,,Israelfo no kɔɔ so poo Yehowa ahyɛde
"Bere ne bere mu no , mehwehwɛ me ho mu hwɛ .","From time to time , I take stock of myself .",,The one in my heart is the one I am thinking about
"Bere tiaa bi akyi no , wɔde wɔn ho hyɛɛ asanom mu traa so .",Alcohol soon became a curse upon the people .,,"When they were coming, they put their load on the back of the donkey."
"Berɛ a adeɛ a ɛdi kan a nkwa wom baeɛ no , ɛdanedanee kɔsii sɛ nneɛma afoforɔ fii mu baeɛ .","After decades of research in virtually all branches of science , the fact remains that life comes only from preexisting life .",,"When the first fruit that has the promise is formed, it is gradually followed by other things coming out of it."
"Bible Asuafo , sɛnea na wonim Yehowa Adansefo saa bere no , yɛɛ Bible nkyerɛkyerɛ adwuma kɛse bi ne baguam asɛnka , na wɔkyekyɛɛ Bible ho nhoma ahorow a wɔatintim no pii .","An extensive program of Bible education was under way , with public lectures and intensive distribution of Bible literature published by the International Bible Students , as Jehovah 's Witnesses were then known .",,"The Bible Students, as Jehovah's Witnesses were then known, undertook a large Bible study program and produced numerous Bible study aids that they printed and distributed."
